Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive
5,1,6,4,4.019997
5,1,5,5,5.059998
5,1,9,5,4.040001
5,3,0,5,9.179993
5,3,2,4,8.400002
5,3,1,3,9.18
5,2,9,1,5.080002
5,3,3,1,8.400002
5,3,9,0,5.639999
5,3,7,15,7.459999
5,3,6,2,8.18
5,4,8,0,7.919998
5,4,7,12,8.760002
5,2,8,0,8.939995
5,2,4,3,11.3
5,1,3,8,12.62
5,4,9,2,9.959999
5,2,5,3,12.1
5,4,4,3,13.42
5,1,2,13,15.18
5,3,8,7,12.92
5,4,5,10,15.52
5,2,7,3,15.02
5,4,2,3,18.62
5,4,3,3,18.6
5,1,7,8,17.86
5,4,6,12,19.18
5,3,4,5,23.06
6,2,2,0,2.259995
6,2,3,0,1.920013
6,1,2,0,2.440002
6,1,3,0,2.240005
6,1,1,0,3.279999
6,1,4,2,3.180008
6,4,8,0,1.519989
6,2,1,4,5.23999
6,2,0,5,5.759995
6,4,4,0,3.720001
6,2,6,3,3.520004
6,2,7,0,3.599991
6,1,7,3,4.019989
6,4,6,5,5.020004
6,1,9,0,3.600006
6,4,2,3,7.599991
6,2,9,8,5.060013
6,1,8,0,5.899994
6,2,4,13,8.139999
6,4,5,3,8.139999
6,4,7,0,7.199997
6,4,9,0,6.580002
6,2,8,9,8.179993
6,3,7,6,9.199997
6,3,9,0,8.919998
6,4,0,4,16.28
6,1,6,7,13.39999
6,4,1,4,16.06
6,1,0,10,17.03999
6,3,5,3,14.94
6,1,5,8,15.95999
6,3,6,4,16.88
6,3,2,2,19
6,3,3,2,19.8
6,3,0,2,21.56
6,2,5,12,20.16
6,3,1,2,22.75999
6,3,4,2,21.7
6,3,8,2,20.62
6,4,3,7,23.52
7,4,2,3,3.439987
7,4,4,0,2.919998
7,4,1,4,4.459991
7,4,3,1,3.459991
7,3,2,2,4.23999
7,4,5,1,3.199997
7,1,0,1,6.520004
7,3,3,4,5.259995
7,1,2,0,6.059998
7,1,8,0,3.399994
7,2,7,2,4.23999
7,2,4,4,7.360001
7,4,9,4,5.060013
7,2,9,8,5.300003
7,3,0,19,10.42
7,3,4,14,8.380005
7,3,1,17,9.899994
7,4,0,10,10.42
7,3,5,12,7.860001
7,2,0,9,10.95999
7,2,1,8,10.93999
7,4,8,3,7.5
7,2,2,8,10.93999
7,2,3,7,10.98
7,2,5,5,10.46001
7,2,6,28,11.3
7,1,9,6,10.56001
7,1,3,3,14.53999
7,1,4,3,14.32001
7,3,7,9,13.86
7,3,9,6,13.48001
7,3,8,6,14.42
7,1,6,6,17.03999
7,1,1,4,21.17999
7,1,7,12,18.56
7,3,6,3,20.12
7,1,5,5,21.44
7,4,7,3,20.64
7,2,8,7,21.15999
7,2,6,8,23.78
8,1,0,0,2.559998
8,4,0,0,3.220001
8,1,1,0,2.73999
8,4,1,0,2.959991
8,4,2,0,3.100006
8,4,3,0,2.880005
8,1,2,1,3.839996
8,3,1,0,5.079987
8,2,0,0,6.119995
8,3,3,0,4.699997
8,1,5,2,3.919998
8,1,8,0,2.520004
8,1,3,8,5.199997
8,1,4,4,4.699997
8,1,6,3,4.179993
8,4,8,0,3.220001
8,4,7,3,4.440002
8,1,7,4,4.699997
8,2,1,0,7.819992
8,2,3,0,8.400009
8,2,6,0,7.020004
8,2,9,0,6.440002
8,3,6,0,8.119995
8,3,0,6,11.7
8,4,6,3,9.279999
8,3,5,0,10
8,1,9,0,7.960007
8,3,4,3,10.7
8,3,2,3,11.7
8,3,7,8,9.679993
8,2,8,6,10.06001
8,3,9,8,10.74001
8,4,4,7,13.56
8,4,5,4,13.68001
8,3,8,5,12.82001
8,2,2,0,16.94
8,2,5,0,16.34
8,2,4,3,17.52
8,4,9,8,15.66
8,2,7,0,17.86
9,1,0,0,2.779999
9,1,2,0,1.880005
9,1,1,0,2.639999
9,4,4,0,2.160004
9,4,2,0,3.200012
9,4,1,0,3.940002
9,2,5,0,2.619995
9,2,3,3,4.240005
9,2,2,4,5.080002
9,2,4,3,4.339996
9,2,6,3,3.800003
9,2,8,3,3.519989
9,4,3,0,7.020004
9,1,4,3,6.559998
9,1,3,4,7.380005
9,4,5,0,6.619995
9,4,8,5,5.619995
9,2,9,0,5.399994
9,1,6,4,7.399994
9,3,8,4,7.419998
9,3,2,0,11.28
9,1,5,6,10.22
9,3,5,0,10.5
9,1,7,6,9.5
9,4,9,3,9.73999
9,3,0,4,15.14
9,2,1,7,16.48001
9,1,9,0,12.45999
9,4,0,0,17.81999
9,3,4,5,16.2
9,3,6,6,16.23999
9,2,0,13,20.03999
9,1,8,11,16.72
9,3,3,10,19.8
9,3,1,9,20.82001
9,4,6,2,18.78
9,2,7,10,19.08
9,4,7,4,19.31999
9,3,9,16,19.14
9,3,7,8,20.66
10,2,0,0,1.020004
10,2,3,0,1.259995
10,1,0,0,2.880005
10,1,1,0,2.440002
10,1,4,0,1.179993
10,1,6,0,1.040009
10,1,3,0,2.860001
10,1,8,0,0.6800079
10,3,6,0,2.779999
10,3,1,4,5.440002
10,3,4,3,6.020004
10,3,5,3,6.019989
10,3,2,4,7.600006
10,3,8,1,5
10,3,0,12,9.580002
10,1,2,16,9.360001
10,1,9,0,6.059998
10,1,5,10,8.339996
10,3,3,10,10.14
10,3,7,8,8.340012
10,2,4,0,10.28
10,4,1,0,12.12
10,4,5,0,10.28
10,1,7,13,9.380005
10,2,6,0,10.48001
10,4,0,0,13.58
10,4,8,0,10.02
10,4,9,0,9.720001
10,4,2,0,13.72
10,4,3,0,13.58
10,4,4,0,13.3
10,2,7,0,12.94
10,2,1,0,16.22
10,2,2,1,16.34
10,2,5,2,16.93999
10,3,9,0,14.94
10,2,9,7,16.38
10,2,8,3,18.88
10,4,6,0,20.90001
10,4,7,0,20.82001
11,4,0,0,2.880005
11,4,1,0,2.559998
11,2,1,0,3.439987
11,1,8,0,0.01998901
11,2,2,0,3.220001
11,2,5,0,2.100006
11,3,1,4,4.439987
11,2,3,0,3.520004
11,3,3,4,3.699997
11,2,6,0,3.079987
11,4,6,3,3.440002
11,1,5,3,4.720016
11,4,5,2,4.780014
11,2,8,0,3.259995
11,1,4,4,5.520004
11,1,6,4,4.73999
11,1,1,4,7.919998
11,3,7,6,5.059998
11,3,5,7,8.340012
11,2,7,2,8.700012
11,3,2,6,12.18001
11,1,3,4,12.50002
11,2,0,5,14.76001
11,3,4,4,12.86
11,2,4,1,13.58
11,2,9,1,11.7
11,4,8,3,14.74001
11,4,9,4,14.22002
11,3,0,9,19.98001
11,4,3,6,18.98
11,4,4,3,19.24001
11,3,8,5,18.24001
11,3,6,8,19.76001
11,3,9,5,19.03999
11,4,2,11,23.37999
11,4,0,4,26.04001
11,1,7,4,23.42001
11,4,2,4,26.75999
11,4,7,10,24.26001
11,4,9,4,26.31999
12,4,3,0,0.5599976
12,4,1,0,2.039978
12,2,0,0,3.5
12,2,1,1,3.179993
12,4,6,0,0.8599854
12,2,2,0,3.139984
12,2,3,0,2.639984
12,4,4,0,2.179993
12,4,7,0,0.9200134
12,2,4,0,2.5
12,2,6,0,2.23999
12,3,3,0,4.419983
12,2,9,0,1.379974
12,2,5,2,3.779999
12,2,7,0,2.880005
12,3,4,0,4.47998
12,3,0,0,7.140015
12,4,0,0,7.720001
12,3,7,0,4.839996
12,2,8,5,4.619995
12,3,1,5,8.159973
12,3,2,5,8.439972
12,4,5,0,7.480011
12,3,6,0,7
12,3,5,3,7.959991
12,4,8,0,7
12,4,9,0,7.559998
12,3,8,4,8.26001
12,3,9,4,8.279999
12,1,1,0,14.01999
12,1,5,0,13.01999
12,1,8,0,12.52002
12,4,2,4,15.97998
12,1,2,0,17.25998
12,1,4,0,16.31998
12,1,6,0,16.51999
12,1,7,0,17.32001
12,1,0,0,22
12,1,3,0,21.73999
12,1,9,0,21.75998
13,2,0,0,1.319977
13,2,3,0,0.7799988
13,1,0,0,3.119995
13,1,1,0,2.920013
13,1,3,0,2.52002
13,1,4,0,2.320007
13,2,1,0,4.279999
13,1,2,5,4.399994
13,1,6,0,3.399994
13,1,7,0,3.100006
13,4,9,0,2.200012
13,1,8,6,4.400024
13,1,5,8,5.940002
13,1,9,2,4.160004
13,4,3,4,7.5
13,2,2,0,8.100006
13,4,8,3,6.220001
13,2,5,0,7.940002
13,4,6,4,7.940002
13,3,9,3,6.540009
13,3,4,2,9.440002
13,2,9,0,7.900024
13,3,7,2,9.040009
13,2,4,4,10.60001
13,3,8,4,9.320007
13,2,7,0,10.10001
13,2,8,0,10.44
13,4,2,11,15.48001
13,4,1,13,15.98001
13,4,0,12,16.5
13,4,5,11,14.73999
13,4,4,13,16
13,4,7,9,14.68002
13,3,0,5,18.59998
13,3,1,5,18.26001
13,3,2,5,19
13,3,3,5,18.74002
13,3,5,5,18.44
13,3,6,5,21.32001
13,4,6,4,23.5
14,4,0,0,0.4199829
14,1,0,0,3.5
14,1,1,0,3.179993
14,4,1,2,3.839996
14,1,2,1,3.820007
14,1,3,1,3.839996
14,4,2,4,4.600006
14,4,3,3,4.339996
14,4,4,3,4.139984
14,1,5,5,4.359985
14,4,6,4,3.859985
14,1,7,1,3.339996
14,1,4,5,4.859985
14,1,6,1,3.859985
14,3,0,0,7
14,1,8,2,3.100006
14,2,0,3,7.419983
14,1,9,3,3.360016
14,2,9,0,3.559998
14,4,9,4,3.679993
14,2,1,2,7.940002
14,3,1,0,8.220001
14,3,2,4,8.5
14,3,4,2,7.759979
14,3,3,2,8.52002
14,2,4,3,8.279999
14,3,5,1,8.039978
14,2,6,3,8.299988
14,3,7,2,7.779999
14,3,6,2,8.299988
14,2,8,2,7.799988
14,3,9,0,7.860016
14,3,8,3,8.859985
14,4,7,4,9.459991
14,4,8,5,10.16
14,2,2,8,13.39999
14,4,5,5,12.23999
14,2,3,10,17.20001
14,2,5,10,17.29999
14,2,7,10,18.94
15,2,0,0,3.199982
15,2,3,0,1.860016
15,2,1,0,3
15,4,1,3,3.839996
15,2,6,0,1.679993
15,3,3,0,3.380005
15,4,4,0,3.100006
15,4,6,0,2.420013
15,3,6,0,3.02002
15,2,2,6,5.340027
15,1,2,2,6.440002
15,1,1,4,7.200012
15,1,0,8,8.5
15,2,7,7,5.279999
15,3,4,0,7.540009
15,1,4,4,7.76001
15,1,5,5,7.26001
15,1,3,8,8.840027
15,1,6,4,7.800018
15,1,7,4,7.300018
15,3,7,0,7.320007
15,3,8,0,6.820007
15,1,8,2,7.320007
15,1,9,2,7.100006
15,3,1,0,12.23999
15,4,0,7,12.97998
15,4,3,7,12.18002
15,4,2,8,13.24002
15,2,5,9,12.45999
15,2,4,11,13.22
15,2,8,8,12.22
15,2,9,6,11.72
15,4,8,8,13.02002
15,4,9,9,13.89999
15,4,5,7,16.23999
15,3,5,0,17.29999
15,3,2,0,20.12003
15,3,0,0,21.22
15,3,9,0,17.72
15,4,7,8,20.32001
16,1,3,0,0.8600159
16,1,2,0,1.440002
16,4,1,0,2.420013
16,4,2,0,3.059998
16,4,0,2,4.380005
16,1,4,0,2.420013
16,4,8,0,0.6799927
16,4,4,0,3.02002
16,4,3,0,3.52002
16,4,5,0,2.880005
16,4,6,0,3.119995
16,2,1,0,6.619995
16,1,0,6,7.540009
16,1,1,3,7.300018
16,4,9,2,4.279999
16,4,7,6,5.299988
16,3,5,0,6.779999
16,1,6,3,6.619995
16,1,5,4,7.119995
16,1,7,1,6.380005
16,1,8,0,6.399994
16,1,9,0,6.360016
16,3,0,4,10.95999
16,3,1,3,10.72
16,3,4,5,10.76001
16,3,3,5,11.26001
16,2,5,0,10.97998
16,3,2,4,12.5
16,3,7,3,10.26001
16,3,8,2,10
16,3,6,5,12.67999
16,2,2,0,15.70001
16,2,9,0,12.22
16,2,3,3,16.20001
16,2,4,3,16.5
16,2,6,3,16.5
16,3,9,13,16.02002
16,2,7,2,17.06
16,3,0,4,25.51999
16,2,8,5,21.48001
17,3,1,0,0.9799805
17,1,4,0,1.02002
17,1,3,0,1.799988
17,2,1,0,3.019989
17,2,2,0,2.779999
17,2,4,1,3.220001
17,3,7,0,1.860016
17,4,0,4,5.599976
17,4,2,2,4.76001
17,2,9,0,1.97998
17,2,6,5,4.299988
17,3,5,0,5.300018
17,2,8,4,3.779999
17,3,6,0,5.639984
17,1,1,7,8.419983
17,3,3,0,8.420013
17,1,9,2,5.660004
17,3,4,0,8.5
17,1,5,8,8.460022
17,2,7,4,8.140015
17,1,8,6,7.700012
17,1,7,7,8.459991
17,2,0,12,12.84
17,2,3,7,11.70001
17,2,5,5,11.28
17,4,1,3,14.01999
17,3,0,1,14.63998
17,1,0,9,15.5
17,3,2,2,15.20001
17,3,8,0,13.32001
17,1,2,9,16.42001
17,4,4,4,16.24002
17,4,5,6,16
17,4,3,9,17.56
17,4,7,4,16.58002
17,4,8,4,16.06003
17,4,6,7,17.28
17,4,9,4,16.25998
17,1,6,18,18.34
17,3,9,9,17.28
18,1,1,0,1.300018
18,4,0,0,2.26001
18,4,2,0,2.220001
18,4,4,0,1.800018
18,3,0,5,4.700012
18,3,1,3,4.700012
18,3,3,1,4.220001
18,3,4,0,4.02002
18,3,6,0,3.440002
18,2,5,0,4.5
18,4,5,3,4.700012
18,4,6,3,4.740021
18,4,3,5,7.139984
18,1,8,1,4.799988
18,1,7,2,5.320007
18,3,5,9,6.320007
18,1,6,5,5.820007
18,1,4,9,6.820007
18,1,5,5,6.320007
18,3,2,14,7.859985
18,1,0,13,8.880005
18,1,3,9,7.339996
18,1,2,11,7.859985
18,3,8,5,5.339996
18,3,9,5,5.119995
18,1,9,3,5.619995
18,3,7,8,6.640015
18,2,1,11,10.48001
18,2,3,9,9.440002
18,2,0,15,10.98001
18,2,4,5,8.920013
18,2,2,8,9.959991
18,2,6,5,8.720001
18,4,8,9,7.97998
18,2,9,5,8.23999
18,2,8,4,8.73999
18,2,7,9,9.800018
18,4,1,11,14.92001
18,4,7,10,14.74002
18,4,9,9,14.56
19,3,3,0,0.4200134
19,1,2,0,1.76001
19,3,0,0,3.459991
19,1,4,0,1.460022
19,1,5,0,0.9799805
19,4,2,0,3.459991
19,1,0,0,4.539978
19,3,2,3,3.899994
19,1,3,3,5.779999
19,2,0,1,7.519989
19,2,2,0,6.860016
19,2,1,0,7.660004
19,1,6,2,5.5
19,3,1,4,8.320007
19,1,8,3,5.02002
19,2,3,2,7.580017
19,2,5,3,7.559998
19,2,4,3,8.080017
19,3,4,5,8.840027
19,3,6,3,8.059998
19,2,7,1,7.820007
19,2,8,2,7.320007
19,1,1,4,11.57999
19,2,6,6,9.119995
19,3,7,7,9.119995
19,2,9,2,8.379974
19,4,6,5,11.20001
19,4,7,5,10.94
19,4,0,7,14.53998
19,3,5,14,12.22
19,4,9,3,10.43997
19,4,8,3,10.95999
19,3,8,15,12.30002
19,3,9,14,12.79999
19,1,9,5,13.21997
19,4,5,7,16.06
19,1,7,5,15.70001
19,4,1,7,19.51999
19,4,3,7,18.94
19,4,4,8,19.42001
20,2,0,0,2.540009
20,2,3,0,1.480011
20,3,0,4,3.680023
20,3,1,3,3.160004
20,2,6,0,1
20,3,3,0,2.799988
20,1,1,6,4.73999
20,1,0,6,5.26001
20,1,2,3,4.23999
20,4,0,4,5.580017
20,1,4,3,3.73999
20,1,3,3,4.519989
20,2,9,0,1.580017
20,1,5,3,3.76001
20,4,1,4,6.079987
20,2,7,0,3.399994
20,4,4,2,5.600006
20,1,9,2,3.279999
20,1,7,3,4.299988
20,1,6,6,5.080017
20,3,7,8,5.320007
20,3,2,15,7.880005
20,3,5,12,6.340027
20,3,6,10,5.840027
20,3,4,12,6.860016
20,3,8,7,4.800018
20,3,9,5,4.300018
20,4,6,6,6.440002
20,1,8,8,5.600006
20,4,8,5,5.880005
20,4,3,6,9.660004
20,2,4,2,10.01999
20,4,5,9,9.76001
20,4,7,7,9.820007
20,4,9,5,8.899994
20,2,2,2,13.23999
20,2,8,2,11.23999
20,2,1,3,17.56
20,2,5,3,16.90002
20,4,2,16,19.12
